category,description
politics,TOKYO (AP) — A Belarus track sprinter alleged her Olympic team tried to remove her from Japan in a dispute that led to a standoff Sunday evening at Tokyo’s main airport.
politics,An activist group supporting Krystsina Tsimanouskaya said she believed her life was in danger in Belarus and would seek asylum with the Austrian embassy in Tokyo.
politics,Tsimanouskaya said in a filmed message distributed on social media she was pressured by Belarus team officials and asked the International Olympic Committee for help.
politics,"Tsimanouskaya, who is due to run in the Olympic 200-meter heats Monday, criticized Belarus team officials on her Instagram account. She said she’d been put in the 4x400 relay despite never racing the event."
politics,"“I was put under pressure and they are trying to forcibly take me out of the country without my consent,” the 24-year-old runner said."
politics,"“The campaign was quite serious and that was a clear signal that her life would be in danger in Belarus,” Alexander Opeikin, a spokesman for the BSSF, told The Associated Press in an interview."
politics,"The Belarusian Sport Solidarity Foundation said government supporters targeted the athlete, and Tsimanouskaya contacted the group for help to avoid what she feared was a forced deportation to Minsk."
politics,"Tsimanouskaya summoned Japanese police at Haneda Airport and did not board a flight departing for Istanbul. Foreign ministry officials arrived later at the airport, Opeikin said."
politics,"In a statement released by the BSSF, Tsimanouskaya said she was in a police station early Monday morning."
politics,"“I explained the situation to a police officer of how I was taken from the Olympic Village,” she said. “Now I am in a secure situation and am figuring out the question of where I will spend the night."
politics,"“The IOC … is looking into the situation and has asked the NOC for clarification,” the Olympics said in a statement."
politics,"The IOC, which has been in dispute with the Belarus National Olympic Committee ahead of the Tokyo Games, said it had intervened."
politics,"WASHINGTON (AP) — The Senate moved closer to passing a $1 trillion infrastructure package Saturday after lawmakers from both parties came together and voted to clear a key procedural hurdle, but the action soon stalled out as opponents tried to slow the rush to approve one of President Joe Biden’s top priorities."
politics,"But momentum dragged as opponents refused to yield 30 hours of required debate before the next procedural vote, which could delay swift passage of the package and result in a dayslong slog."
politics,"The measure would provide a massive injection of federal money for a range of public works programs, from roads and bridges to broadband internet access, drinking water and more. In a rare stroke of bipartisanship, Republicans joined the Democrats to overcome the 60-vote threshold needed to advance the measure toward final votes. The vote was 67-27, a robust tally. If approved, the bill would go to the House."
politics,"Senators are meeting for a second consecutive weekend to work on the Infrastructure Investment and Jobs Act, which is the first of Biden’s two infrastructure packages. Once voting wraps up, senators immediately will turn to the next item on Biden’s agenda, the budget outline for a $3.5 trillion package of child care, elder care and other programs that is a much more partisan undertaking and expected to draw only Democratic support."
politics,Schumer has vowed to keep senators in session until they finish up the bipartisan bill and start the initial votes on the next big package.
politics,"“We can get this done the easy way or the hard way,” Senate Majority Leader Chuck Schumer, D-N.Y., said as the Senate opened on Saturday."
politics,"Vice President Kamala Harris arrived on Capitol Hill for meetings on the bipartisan legislation, which Biden said offered a potentially “historic investment,” on par with the building of the transcontinental railroad or interstate highway system."
politics,Overcoming the 60-vote hurdle was a sign that the tenuous alliance between Republicans and Democrats could hold on the public works package. At least 10 Republicans had to join all Democrats to advance the measure past a filibuster — and in the end 18 Republican senators voted to advance the package.
politics,"For some Republican senators the back-to-back voting schedule is what they are trying to delay, hoping to slow or halt what appears to be a forward march by Democrats to achieve the president’s infrastructure goals."
politics,"Senate Republican leader Mitch McConnell of Kentucky has so far allowed the bill to progress, and his vote — “yes” — was closely watched. “This is a compromise,” he said before the vote."
politics,"Sen. Bill Hagerty, R-Tenn., an ally of Donald Trump, who was the former president’s ambassador to Japan, was among those leading the effort for the Senate to take as much time as needed to debate and amend the bill."
politics,"“There’s absolutely no reason to rush,” Hagerty said during a floor speech Saturday."
politics,"Sen. John Cornyn, R-Texas, who has an amendment to repurpose a portion of the untapped COVID-19 relief aid that had been sent to the states, is among those on both sides of the aisle trying to expedite the process."
politics,Congress is under pressure to make gains on the president’s infrastructure priorities — first with the bipartisan bill and then with Democrats’ more sweeping $3.5 trillion budget blueprint they plan to shoulder on their own.
